Year,fua_code,fua_name,ndvi
2000,ES001L3,Madrid,0.3097899495353245
2000,ES002L2,Barcelona,0.42037255952519664
2000,ES003L3,Valencia,0.31015143449062377
2000,ES004L3,Sevilla,0.3177963140220809
2000,ES005L2,Zaragoza,0.24487857803492896
2000,ES006L2,MÃ¡laga,0.32662161722688116
2000,ES007L2,Murcia,0.22759328402250648
2000,ES008L2,Las Palmas,
2000,ES009L2,Valladolid,0.30622035167805123
2000,ES010L2,Palma de Mallorca,0.34385267198921593
2000,ES011L2,Santiago de Compostela,0.6645110820765118
2000,ES012L2,Vitoria/Gasteiz,0.5392607717748193
2000,ES013L2,Oviedo,0.6191719204528338
2000,ES014L3,Pamplona/IruÃ±a,0.5317254114179399
2000,ES015L2,Santander,0.6437624297481005
2000,ES016L2,Toledo,0.2494101976844009
2000,ES017L2,Badajoz,0.35134693019781793
2000,ES018L2,LogroÃ±o,0.2872386592412799
2000,ES019L3,Bilbao,0.6594543639041403
2000,ES020L2,CÃ³rdoba,0.29055692168236325
2000,ES021L2,Alicante/Alacant,0.16823737588546017
2000,ES022L2,Vigo,0.6036195179413661
2000,ES023L2,GijÃ³n,0.6100380150056243
2000,ES025L3,Santa Cruz de Tenerife,
2000,ES026L2,CoruÃ±a (A),0.6277726974639081
2000,ES028L1,Reus,0.33623696805169384
2000,ES031L1,Lugo,0.6657110013999442
2000,ES033L1,Girona,0.5463112584995365
2000,ES034L1,CÃ¡ceres,0.3725755609478642
2000,ES035L1,Torrevieja,0.1963597131037241
2000,ES039L1,AvilÃ©s,0.594668169051924
2000,ES040L1,Talavera de la Reina,0.33569682498173853
2000,ES041L1,Palencia,0.31106214633260776
2000,ES043L1,Ferrol,0.6351841769643124
2000,ES044L1,Pontevedra,0.6223360593516919
2000,ES046L1,Gandia,0.4083366856695301
2000,ES048L1,Guadalajara,0.28965306610103936
2000,ES050L1,Manresa,0.41040225984928125
2000,ES053L1,Ciudad Real,0.27801521621969727
2000,ES054L1,Benidorm,0.2606519473454161
2000,ES057L1,Ponferrada,0.5228031657456118
2000,ES059L1,Zamora,0.29813281368336036
2000,ES070L1,Irun,0.615135431844482
2000,ES072L1,Arrecife,
2000,ES501L3,Granada,0.30270119815053953
2000,ES505L1,Elche/Elx,0.20934231886228544
2000,ES506L1,Cartagena,0.243729554276881
2000,ES508L1,Jerez de la Frontera,0.35239830959813734
